Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.000	37.900	21.687	0.046111	-6.6285	-6.4537	-50.053	47.101	66.358	2008.9	-0.059577	1286.6	0.25662	liquid
92.000	37.900	21.653	0.046184	-6.5621	-6.3871	-49.325	47.367	66.998	2003.8	-0.058907	1233.4	0.25593	liquid
93.000	37.900	21.618	0.046257	-6.4951	-6.3198	-48.597	47.589	67.563	1998.3	-0.058319	1183.3	0.25522	liquid
94.000	37.900	21.584	0.046331	-6.4275	-6.2520	-47.872	47.770	68.061	1992.6	-0.057804	1136.1	0.25450	liquid
95.000	37.900	21.549	0.046406	-6.3595	-6.1837	-47.149	47.915	68.497	1986.7	-0.057352	1091.7	0.25377	liquid
96.000	37.900	21.514	0.046481	-6.2911	-6.1150	-46.430	48.026	68.877	1980.6	-0.056956	1049.9	0.25302	liquid
97.000	37.900	21.479	0.046557	-6.2224	-6.0459	-45.715	48.107	69.207	1974.3	-0.056610	1010.4	0.25226	liquid
98.000	37.900	21.444	0.046634	-6.1533	-5.9766	-45.003	48.161	69.491	1967.8	-0.056307	973.22	0.25148	liquid
99.000	37.900	21.409	0.046710	-6.0840	-5.9070	-44.296	48.191	69.734	1961.3	-0.056043	938.07	0.25070	liquid
100.00	37.900	21.373	0.046788	-6.0144	-5.8371	-43.595	48.199	69.940	1954.7	-0.055811	904.86	0.24990	liquid
101.00	37.900	21.338	0.046865	-5.9447	-5.7671	-42.898	48.187	70.113	1947.9	-0.055610	873.46	0.24909	liquid
102.00	37.900	21.302	0.046944	-5.8748	-5.6969	-42.206	48.158	70.256	1941.1	-0.055435	843.73	0.24828	liquid
103.00	37.900	21.267	0.047022	-5.8048	-5.6266	-41.520	48.114	70.373	1934.3	-0.055282	815.58	0.24745	liquid
104.00	37.900	21.231	0.047101	-5.7347	-5.5562	-40.840	48.056	70.467	1927.3	-0.055150	788.90	0.24662	liquid
105.00	37.900	21.195	0.047181	-5.6645	-5.4857	-40.165	47.987	70.539	1920.4	-0.055035	763.60	0.24577	liquid
106.00	37.900	21.159	0.047260	-5.5942	-5.4151	-39.496	47.907	70.594	1913.4	-0.054936	739.57	0.24492	liquid
107.00	37.900	21.124	0.047341	-5.5239	-5.3445	-38.833	47.818	70.632	1906.3	-0.054850	716.75	0.24407	liquid
108.00	37.900	21.088	0.047421	-5.4536	-5.2738	-38.176	47.722	70.656	1899.2	-0.054775	695.05	0.24320	liquid
109.00	37.900	21.052	0.047502	-5.3832	-5.2032	-37.525	47.619	70.667	1892.2	-0.054710	674.41	0.24233	liquid
110.00	37.900	21.016	0.047583	-5.3128	-5.1325	-36.879	47.511	70.668	1885.0	-0.054654	654.76	0.24145	liquid
111.00	37.900	20.980	0.047665	-5.2425	-5.0618	-36.240	47.398	70.660	1877.9	-0.054605	636.03	0.24057	liquid
112.00	37.900	20.944	0.047747	-5.1722	-4.9912	-35.606	47.281	70.643	1870.7	-0.054562	618.17	0.23968	liquid
113.00	37.900	20.908	0.047829	-5.1018	-4.9206	-34.978	47.162	70.620	1863.6	-0.054523	601.13	0.23879	liquid
114.00	37.900	20.872	0.047912	-5.0315	-4.8500	-34.356	47.040	70.592	1856.4	-0.054489	584.86	0.23789	liquid
115.00	37.900	20.835	0.047995	-4.9613	-4.7794	-33.740	46.917	70.558	1849.2	-0.054457	569.31	0.23698	liquid
