Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
197.00	88.170	43.107	0.023198	0.050776	0.25531	0.25786	50.406	71.281	2119.2	-0.023570	559.64	0.82311	liquid
198.00	88.170	43.047	0.023231	0.12181	0.32664	0.61901	50.366	71.370	2109.9	-0.023474	547.69	0.81966	liquid
199.00	88.170	42.986	0.023263	0.19294	0.39805	0.97878	50.326	71.461	2100.9	-0.023378	536.13	0.81620	liquid
200.00	88.170	42.925	0.023297	0.26415	0.46956	1.3372	50.285	71.552	2092.0	-0.023281	524.93	0.81274	liquid
201.00	88.170	42.864	0.023330	0.33546	0.54116	1.6943	50.245	71.644	2083.2	-0.023183	514.08	0.80929	liquid
202.00	88.170	42.802	0.023363	0.40685	0.61285	2.0501	50.204	71.737	2074.6	-0.023084	503.58	0.80583	liquid
203.00	88.170	42.740	0.023397	0.47834	0.68463	2.4046	50.164	71.831	2066.1	-0.022985	493.41	0.80238	liquid
204.00	88.170	42.678	0.023431	0.54992	0.75651	2.7578	50.124	71.925	2057.7	-0.022886	483.54	0.79892	liquid
205.00	88.170	42.616	0.023466	0.62159	0.82848	3.1097	50.085	72.020	2049.4	-0.022786	473.98	0.79546	liquid
206.00	88.170	42.553	0.023500	0.69335	0.90055	3.4604	50.045	72.115	2041.3	-0.022686	464.71	0.79201	liquid
207.00	88.170	42.490	0.023535	0.76521	0.97271	3.8099	50.006	72.211	2033.2	-0.022585	455.72	0.78856	liquid
208.00	88.170	42.427	0.023570	0.83716	1.0450	4.1581	49.967	72.306	2025.3	-0.022484	447.01	0.78511	liquid
209.00	88.170	42.364	0.023605	0.90920	1.1173	4.5051	49.929	72.402	2017.4	-0.022383	438.55	0.78166	liquid
210.00	88.170	42.300	0.023641	0.98134	1.1898	4.8510	49.891	72.497	2009.6	-0.022281	430.33	0.77821	liquid
211.00	88.170	42.236	0.023677	1.0536	1.2623	5.1956	49.853	72.593	2001.9	-0.022180	422.36	0.77476	liquid
212.00	88.170	42.172	0.023713	1.1259	1.3350	5.5391	49.815	72.688	1994.2	-0.022078	414.63	0.77132	liquid
213.00	88.170	42.107	0.023749	1.1983	1.4077	5.8813	49.778	72.784	1986.6	-0.021976	407.11	0.76788	liquid
214.00	88.170	42.043	0.023785	1.2708	1.4805	6.2225	49.741	72.879	1979.1	-0.021874	399.81	0.76444	liquid
215.00	88.170	41.978	0.023822	1.3434	1.5535	6.5625	49.704	72.973	1971.6	-0.021771	392.72	0.76101	liquid
216.00	88.170	41.913	0.023859	1.4161	1.6265	6.9013	49.668	73.068	1964.2	-0.021669	385.83	0.75758	liquid
217.00	88.170	41.847	0.023896	1.4889	1.6996	7.2390	49.632	73.161	1956.9	-0.021566	379.13	0.75415	liquid
218.00	88.170	41.782	0.023934	1.5618	1.7728	7.5756	49.596	73.255	1949.6	-0.021464	372.61	0.75073	liquid
219.00	88.170	41.716	0.023972	1.6347	1.8461	7.9111	49.561	73.348	1942.3	-0.021361	366.28	0.74731	liquid
220.00	88.170	41.650	0.024010	1.7078	1.9195	8.2454	49.526	73.440	1935.1	-0.021258	360.12	0.74389	liquid
221.00	88.170	41.583	0.024048	1.7809	1.9930	8.5787	49.491	73.532	1927.9	-0.021155	354.12	0.74048	liquid
222.00	88.170	41.517	0.024087	1.8542	2.0666	8.9109	49.456	73.623	1920.8	-0.021052	348.29	0.73708	liquid
223.00	88.170	41.450	0.024125	1.9275	2.1402	9.2420	49.422	73.714	1913.7	-0.020949	342.61	0.73368	liquid
224.00	88.170	41.383	0.024165	2.0009	2.2140	9.5720	49.388	73.804	1906.6	-0.020845	337.09	0.73028	liquid
225.00	88.170	41.316	0.024204	2.0744	2.2878	9.9010	49.354	73.893	1899.5	-0.020742	331.70	0.72689	liquid
226.00	88.170	41.248	0.024243	2.1480	2.3618	10.229	49.321	73.981	1892.5	-0.020638	326.46	0.72351	liquid
227.00	88.170	41.181	0.024283	2.2217	2.4358	10.556	49.287	74.069	1885.5	-0.020534	321.35	0.72013	liquid
228.00	88.170	41.113	0.024323	2.2954	2.5099	10.881	49.254	74.157	1878.5	-0.020430	316.38	0.71676	liquid
229.00	88.170	41.045	0.024364	2.3693	2.5841	11.206	49.221	74.243	1871.6	-0.020325	311.53	0.71339	liquid
230.00	88.170	40.976	0.024404	2.4432	2.6584	11.530	49.189	74.329	1864.7	-0.020221	306.80	0.71003	liquid
231.00	88.170	40.908	0.024445	2.5172	2.7328	11.852	49.156	74.414	1857.8	-0.020116	302.19	0.70667	liquid
232.00	88.170	40.839	0.024486	2.5913	2.8072	12.174	49.124	74.499	1850.9	-0.020010	297.69	0.70332	liquid
233.00	88.170	40.770	0.024528	2.6655	2.8818	12.495	49.091	74.583	1844.0	-0.019905	293.31	0.69998	liquid
234.00	88.170	40.701	0.024570	2.7398	2.9564	12.814	49.059	74.666	1837.1	-0.019799	289.03	0.69665	liquid
235.00	88.170	40.631	0.024612	2.8141	3.0311	13.133	49.028	74.748	1830.3	-0.019693	284.85	0.69332	liquid
236.00	88.170	40.562	0.024654	2.8885	3.1059	13.450	48.996	74.830	1823.5	-0.019586	280.77	0.69000	liquid
237.00	88.170	40.492	0.024696	2.9630	3.1808	13.767	48.964	74.911	1816.7	-0.019479	276.79	0.68669	liquid
238.00	88.170	40.422	0.024739	3.0376	3.2557	14.083	48.933	74.992	1809.9	-0.019372	272.91	0.68338	liquid
239.00	88.170	40.352	0.024782	3.1122	3.3307	14.397	48.901	75.072	1803.1	-0.019264	269.11	0.68008	liquid
240.00	88.170	40.281	0.024825	3.1870	3.4058	14.711	48.870	75.151	1796.3	-0.019155	265.40	0.67679	liquid
241.00	88.170	40.211	0.024869	3.2618	3.4810	15.024	48.839	75.230	1789.5	-0.019046	261.77	0.67351	liquid
242.00	88.170	40.140	0.024913	3.3367	3.5563	15.335	48.808	75.309	1782.7	-0.018936	258.23	0.67023	liquid
243.00	88.170	40.069	0.024957	3.4116	3.6317	15.646	48.777	75.386	1776.0	-0.018826	254.77	0.66696	liquid
244.00	88.170	39.998	0.025001	3.4866	3.7071	15.956	48.746	75.464	1769.2	-0.018715	251.38	0.66370	liquid
245.00	88.170	39.926	0.025046	3.5618	3.7826	16.264	48.715	75.541	1762.5	-0.018603	248.07	0.66045	liquid
246.00	88.170	39.855	0.025091	3.6369	3.8582	16.572	48.684	75.617	1755.7	-0.018491	244.83	0.65720	liquid
247.00	88.170	39.783	0.025137	3.7122	3.9338	16.879	48.654	75.693	1749.0	-0.018377	241.65	0.65397	liquid
248.00	88.170	39.711	0.025182	3.7875	4.0095	17.185	48.623	75.769	1742.2	-0.018263	238.55	0.65074	liquid
249.00	88.170	39.639	0.025228	3.8629	4.0854	17.490	48.593	75.844	1735.5	-0.018148	235.51	0.64752	liquid
250.00	88.170	39.566	0.025274	3.9384	4.1612	17.794	48.562	75.919	1728.8	-0.018033	232.54	0.64431	liquid
251.00	88.170	39.493	0.025321	4.0139	4.2372	18.098	48.532	75.994	1722.1	-0.017916	229.63	0.64110	liquid
252.00	88.170	39.421	0.025367	4.0896	4.3132	18.400	48.501	76.068	1715.3	-0.017798	226.77	0.63791	liquid
253.00	88.170	39.348	0.025415	4.1653	4.3893	18.701	48.471	76.143	1708.6	-0.017679	223.98	0.63472	liquid
254.00	88.170	39.274	0.025462	4.2410	4.4655	19.002	48.441	76.217	1701.9	-0.017559	221.24	0.63154	liquid
255.00	88.170	39.201	0.025510	4.3168	4.5418	19.301	48.411	76.291	1695.2	-0.017438	218.56	0.62838	liquid
256.00	88.170	39.127	0.025558	4.3928	4.6181	19.600	48.381	76.365	1688.4	-0.017316	215.92	0.62521	liquid
257.00	88.170	39.053	0.025606	4.4687	4.6945	19.898	48.351	76.438	1681.7	-0.017193	213.34	0.62206	liquid
258.00	88.170	38.979	0.025655	4.5448	4.7710	20.195	48.321	76.512	1675.0	-0.017068	210.81	0.61892	liquid
259.00	88.170	38.905	0.025704	4.6209	4.8475	20.491	48.291	76.586	1668.2	-0.016942	208.33	0.61578	liquid
260.00	88.170	38.830	0.025753	4.6971	4.9241	20.786	48.261	76.660	1661.5	-0.016815	205.90	0.61266	liquid
261.00	88.170	38.756	0.025803	4.7733	5.0008	21.081	48.231	76.734	1654.8	-0.016686	203.51	0.60954	liquid
262.00	88.170	38.681	0.025853	4.8497	5.0776	21.374	48.202	76.808	1648.0	-0.016556	201.16	0.60643	liquid
263.00	88.170	38.606	0.025903	4.9261	5.1545	21.667	48.172	76.882	1641.3	-0.016424	198.86	0.60333	liquid
264.00	88.170	38.530	0.025954	5.0025	5.2314	21.959	48.142	76.956	1634.6	-0.016291	196.60	0.60024	liquid
265.00	88.170	38.455	0.026005	5.0791	5.3084	22.250	48.113	77.031	1627.8	-0.016156	194.38	0.59715	liquid
266.00	88.170	38.379	0.026056	5.1557	5.3854	22.540	48.083	77.106	1621.1	-0.016019	192.20	0.59408	liquid
267.00	88.170	38.303	0.026108	5.2324	5.4626	22.830	48.054	77.181	1614.3	-0.015881	190.06	0.59101	liquid
268.00	88.170	38.227	0.026160	5.3091	5.5398	23.119	48.025	77.257	1607.6	-0.015741	187.96	0.58795	liquid
269.00	88.170	38.150	0.026212	5.3860	5.6171	23.406	47.995	77.333	1600.8	-0.015599	185.89	0.58491	liquid
270.00	88.170	38.074	0.026265	5.4629	5.6945	23.694	47.966	77.409	1594.0	-0.015455	183.86	0.58186	liquid
271.00	88.170	37.997	0.026318	5.5399	5.7719	23.980	47.937	77.486	1587.3	-0.015309	181.86	0.57883	liquid
272.00	88.170	37.920	0.026371	5.6169	5.8494	24.265	47.908	77.564	1580.5	-0.015161	179.89	0.57581	liquid
273.00	88.170	37.842	0.026425	5.6940	5.9270	24.550	47.879	77.642	1573.7	-0.015011	177.96	0.57279	liquid
274.00	88.170	37.765	0.026480	5.7712	6.0047	24.834	47.850	77.721	1566.9	-0.014859	176.06	0.56979	liquid
275.00	88.170	37.687	0.026534	5.8485	6.0825	25.118	47.822	77.801	1560.1	-0.014705	174.19	0.56679	liquid
276.00	88.170	37.609	0.026589	5.9259	6.1603	25.400	47.793	77.881	1553.3	-0.014548	172.35	0.56380	liquid
277.00	88.170	37.531	0.026645	6.0033	6.2382	25.682	47.764	77.962	1546.5	-0.014389	170.54	0.56082	liquid
278.00	88.170	37.452	0.026701	6.0808	6.3162	25.963	47.736	78.044	1539.6	-0.014227	168.76	0.55785	liquid
279.00	88.170	37.373	0.026757	6.1584	6.3943	26.243	47.708	78.127	1532.8	-0.014063	167.00	0.55488	liquid
280.00	88.170	37.294	0.026814	6.2361	6.4725	26.523	47.679	78.211	1526.0	-0.013897	165.28	0.55192	liquid
281.00	88.170	37.215	0.026871	6.3138	6.5508	26.802	47.651	78.295	1519.1	-0.013728	163.57	0.54898	liquid
282.00	88.170	37.135	0.026929	6.3917	6.6291	27.080	47.623	78.381	1512.2	-0.013556	161.90	0.54604	liquid
283.00	88.170	37.055	0.026987	6.4696	6.7075	27.358	47.595	78.468	1505.4	-0.013381	160.25	0.54310	liquid
284.00	88.170	36.975	0.027045	6.5476	6.7860	27.635	47.567	78.556	1498.5	-0.013203	158.62	0.54018	liquid
285.00	88.170	36.895	0.027104	6.6257	6.8646	27.911	47.540	78.645	1491.6	-0.013022	157.02	0.53726	liquid
286.00	88.170	36.814	0.027164	6.7038	6.9433	28.187	47.512	78.736	1484.7	-0.012838	155.44	0.53435	liquid
287.00	88.170	36.733	0.027223	6.7821	7.0221	28.462	47.485	78.828	1477.8	-0.012652	153.88	0.53145	liquid
288.00	88.170	36.652	0.027284	6.8604	7.1010	28.736	47.458	78.921	1470.8	-0.012461	152.35	0.52856	liquid
289.00	88.170	36.570	0.027345	6.9388	7.1799	29.010	47.431	79.016	1463.9	-0.012268	150.83	0.52567	liquid
290.00	88.170	36.489	0.027406	7.0174	7.2590	29.283	47.404	79.112	1456.9	-0.012071	149.34	0.52280	liquid
291.00	88.170	36.406	0.027468	7.0960	7.3382	29.555	47.377	79.210	1450.0	-0.011870	147.87	0.51993	liquid
292.00	88.170	36.324	0.027530	7.1747	7.4174	29.827	47.351	79.309	1443.0	-0.011666	146.41	0.51706	liquid
293.00	88.170	36.241	0.027593	7.2535	7.4968	30.099	47.324	79.410	1436.0	-0.011459	144.98	0.51421	liquid
294.00	88.170	36.158	0.027656	7.3324	7.5762	30.369	47.298	79.513	1429.0	-0.011247	143.57	0.51136	liquid
295.00	88.170	36.075	0.027720	7.4114	7.6558	30.640	47.272	79.617	1422.0	-0.011031	142.17	0.50852	liquid
296.00	88.170	35.991	0.027785	7.4905	7.7355	30.909	47.246	79.724	1414.9	-0.010812	140.79	0.50569	liquid
297.00	88.170	35.907	0.027850	7.5697	7.8153	31.178	47.221	79.832	1407.9	-0.010588	139.43	0.50286	liquid
298.00	88.170	35.823	0.027915	7.6490	7.8951	31.447	47.195	79.943	1400.8	-0.010360	138.09	0.50004	liquid
299.00	88.170	35.738	0.027981	7.7284	7.9751	31.715	47.170	80.056	1393.7	-0.010127	136.77	0.49723	liquid
300.00	88.170	35.653	0.028048	7.8080	8.0553	31.982	47.145	80.170	1386.6	-0.0098900	135.46	0.49442	liquid
301.00	88.170	35.567	0.028116	7.8876	8.1355	32.249	47.121	80.287	1379.5	-0.0096482	134.16	0.49162	liquid
302.00	88.170	35.482	0.028184	7.9673	8.2158	32.516	47.096	80.407	1372.3	-0.0094017	132.89	0.48883	liquid
303.00	88.170	35.395	0.028252	8.0472	8.2963	32.782	47.072	80.529	1365.2	-0.0091501	131.63	0.48604	liquid
304.00	88.170	35.309	0.028321	8.1272	8.3769	33.047	47.048	80.653	1358.0	-0.0088935	130.38	0.48326	liquid
305.00	88.170	35.222	0.028391	8.2073	8.4576	33.312	47.024	80.780	1350.8	-0.0086317	129.15	0.48049	liquid
306.00	88.170	35.135	0.028462	8.2875	8.5385	33.577	47.001	80.909	1343.6	-0.0083644	127.93	0.47772	liquid
307.00	88.170	35.047	0.028533	8.3679	8.6194	33.841	46.978	81.042	1336.4	-0.0080916	126.72	0.47496	liquid
308.00	88.170	34.959	0.028605	8.4483	8.7005	34.105	46.955	81.177	1329.1	-0.0078131	125.53	0.47221	liquid
309.00	88.170	34.870	0.028678	8.5289	8.7818	34.368	46.933	81.315	1321.8	-0.0075287	124.36	0.46946	liquid
310.00	88.170	34.781	0.028751	8.6097	8.8632	34.631	46.911	81.456	1314.5	-0.0072382	123.19	0.46671	liquid
311.00	88.170	34.692	0.028825	8.6905	8.9447	34.894	46.889	81.601	1307.2	-0.0069415	122.04	0.46398	liquid
312.00	88.170	34.602	0.028900	8.7716	9.0264	35.156	46.867	81.749	1299.9	-0.0066384	120.91	0.46124	liquid
313.00	88.170	34.512	0.028976	8.8527	9.1082	35.418	46.846	81.900	1292.5	-0.0063286	119.78	0.45852	liquid
314.00	88.170	34.421	0.029052	8.9340	9.1902	35.679	46.825	82.054	1285.1	-0.0060120	118.67	0.45580	liquid
315.00	88.170	34.330	0.029129	9.0155	9.2723	35.940	46.805	82.213	1277.7	-0.0056883	117.56	0.45308	liquid
316.00	88.170	34.238	0.029207	9.0971	9.3546	36.201	46.785	82.375	1270.2	-0.0053573	116.47	0.45037	liquid
317.00	88.170	34.146	0.029286	9.1788	9.4371	36.462	46.765	82.541	1262.8	-0.0050189	115.39	0.44766	liquid
318.00	88.170	34.053	0.029366	9.2608	9.5197	36.722	46.746	82.711	1255.3	-0.0046727	114.33	0.44496	liquid
319.00	88.170	33.960	0.029447	9.3428	9.6025	36.982	46.727	82.885	1247.7	-0.0043185	113.27	0.44226	liquid
320.00	88.170	33.866	0.029528	9.4251	9.6855	37.242	46.709	83.063	1240.2	-0.0039561	112.22	0.43957	liquid
321.00	88.170	33.772	0.029611	9.5075	9.7686	37.501	46.691	83.246	1232.6	-0.0035852	111.18	0.43688	liquid
322.00	88.170	33.677	0.029694	9.5901	9.8519	37.760	46.673	83.434	1225.0	-0.0032055	110.16	0.43420	liquid
323.00	88.170	33.581	0.029778	9.6729	9.9355	38.019	46.656	83.626	1217.4	-0.0028166	109.14	0.43152	liquid
